Concept ID,Concept Name,Industry,Problem Area,Target User,Segment,Delivery Complexity (1-10),Strategic Fit (1-10),Feedback Score (1-10),Objections Count,Decision Maker Present,Follow-Up Requested,Trial Sessions,Feature Clicks,Repeat Usage Days,Active Users,Time Spent (min),Abandoned Features,Pilot Interest (1-10),Urgency Score (1-10),Budget Signal (1-10),Willingness To Pay (%),Expected Value ($),Implementation Risk (1-10),Engagement Score (%),Demand Intensity (%),Revenue Potential (%),Feasibility Score (%),Strategic Alignment (%),Repeatability Score (%),Confidence Indicator (%),Commercial Outcome
CPT-1192,Knowledge Search Assistant 95,EdTech,Knowledge Search,Data Analyst,SMB,5,6.0,7.5,4.0,0.0,0,18,66,24,43,273.3,2,8,7,6.0,52.00%,25414.0,7,80.00%,51.00%,36.00%,43.00%,33.00%,76.00%,68.00%,Incubate
CPT-1193,Compliance Monitoring Assistant 96,Logistics,Knowledge Search,Executive Sponsor,Mid-Market,4,6.0,7.8,1.0,1.0,1,35,313,19,38,142.1,3,8,9,7.0,45.00%,32777.0,4,63.00%,88.00%,39.00%,67.00%,73.00%,63.00%,79.00%,Customer Pilot
CPT-1194,Document Intelligence Assistant 0,EdTech,Forecasting,Frontline Agent,Mid-Market,6,3.0,3.2,7.0,1.0,1,3,25,3,1,21.2,4,3,4,5.0,83.00%,13345.0,4,15.00%,49.00%,38.00%,47.00%,53.00%,5.00%,41.00%,Archive
CPT-1195,Workflow Automation Assistant 1,Retail,Document Intelligence,Frontline Agent,Startup,8,6.0,5.6,2.0,0.0,0,24,96,22,19,161.1,4,6,2,3.0,26.00%,24134.0,8,59.00%,26.00%,21.00%,9.00%,33.00%,52.00%,69.00%,Archive
CPT-1196,Forecasting Assistant 2,Cybersecurity,Workflow Automation,Frontline Agent,Mid-Market,5,9.0,9.4,2.0,1.0,1,34,288,26,60,300.0,0,10,9,10.0,99.00%,73527.0,6,93.00%,97.00%,81.00%,48.00%,93.00%,93.00%,89.00%,MVP Build
CPT-1197,Forecasting Assistant 3,Consumer Apps,Document Intelligence,Product Manager,Mid-Market,6,6.0,4.9,3.0,0.0,0,2,7,2,18,182.4,4,5,7,2.0,53.00%,24440.0,6,38.00%,38.00%,27.00%,38.00%,33.00%,18.00%,63.00%,Archive
CPT-1198,Fraud Detection Assistant 4,FinTech,Process Optimization,Compliance Officer,Mid-Market,5,8.0,9.7,1.0,1.0,1,19,144,18,50,276.6,1,8,8,8.0,52.00%,42127.0,5,84.00%,84.00%,48.00%,52.00%,87.00%,72.00%,89.00%,MVP Build
CPT-1199,Workflow Automation Assistant 5,Retail,Document Intelligence,IT Admin,Mid-Market,5,9.0,10.0,0.0,1.0,1,30,253,30,52,281.5,0,9,10,8.0,67.00%,38747.0,5,98.00%,96.00%,51.00%,52.00%,93.00%,93.00%,100.00%,MVP Build
CPT-1200,Workflow Automation Assistant 6,FinTech,Predictive Analytics,Ops Manager,Mid-Market,7,4.0,6.0,7.0,1.0,1,12,124,16,29,51.7,4,4,6,7.0,79.00%,26929.0,8,43.00%,60.00%,47.00%,19.00%,60.00%,50.00%,41.00%,Incubate
CPT-1201,Compliance Monitoring Assistant 7,Cybersecurity,Personalization,IT Admin,Mid-Market,4,3.0,5.1,4.0,0.0,1,22,80,5,25,174.0,8,5,7,6.0,42.00%,21467.0,8,41.00%,68.00%,31.00%,49.00%,13.00%,29.00%,38.00%,Archive
CPT-1202,Forecasting Assistant 8,Legal Tech,Knowledge Search,IT Admin,Mid-Market,5,5.0,6.1,1.0,0.0,1,20,154,17,29,86.5,1,6,6,5.0,50.00%,16574.0,9,48.00%,69.00%,29.00%,34.00%,27.00%,52.00%,89.00%,Incubate
CPT-1203,Predictive Analytics Assistant 9,Retail,Compliance Monitoring,Frontline Agent,Startup,5,4.0,7.5,2.0,1.0,0,13,49,13,25,88.7,2,7,7,5.0,61.00%,13845.0,3,51.00%,47.00%,31.00%,61.00%,60.00%,42.00%,79.00%,Archive
CPT-1204,Process Optimization Assistant 10,Cybersecurity,Forecasting,Compliance Officer,Mid-Market,6,6.0,4.3,5.0,1.0,1,16,52,17,22,67.3,9,5,7,5.0,52.00%,8627.0,6,38.00%,68.00%,26.00%,38.00%,73.00%,46.00%,27.00%,Archive
CPT-1205,Process Optimization Assistant 11,Logistics,Workflow Automation,Frontline Agent,Enterprise,4,7.0,7.9,0.0,1.0,1,25,259,9,40,260.9,1,8,7,7.0,54.00%,22643.0,4,66.00%,81.00%,38.00%,67.00%,80.00%,48.00%,95.00%,Customer Pilot
CPT-1206,Knowledge Search Assistant 12,FinTech,Fraud Detection,Data Analyst,SMB,4,5.0,4.1,6.0,0.0,0,25,162,9,40,76.6,6,6,6,7.0,77.00%,33408.0,7,30.00%,39.00%,49.00%,53.00%,27.00%,48.00%,37.00%,Archive
CPT-1207,Workflow Automation Assistant 13,Retail,Personalization,Data Analyst,Startup,6,7.0,10.0,0.0,0.0,1,30,275,30,58,300.0,0,10,8,8.0,80.00%,61459.0,1,100.00%,93.00%,65.00%,60.00%,40.00%,98.00%,100.00%,MVP Build
CPT-1208,Fraud Detection Assistant 14,Healthcare,Process Optimization,Ops Manager,Startup,4,6.0,7.4,0.0,1.0,0,36,115,27,47,252.7,3,8,7,6.0,65.00%,115798.18,3,81.00%,51.00%,81.00%,71.00%,73.00%,84.00%,85.00%,Customer Pilot
CPT-1209,Customer Support Assistant 15,Retail,Document Intelligence,Ops Manager,Startup,7,7.0,4.6,3.0,0.0,0,25,267,9,40,87.7,3,3,6,6.0,16.00%,25906.0,2,34.00%,26.00%,25.00%,46.00%,40.00%,48.00%,68.00%,Archive
CPT-1210,Workflow Automation Assistant 16,Legal Tech,Customer Support,Small Business Owner,Enterprise,6,6.0,5.05,1.0,0.0,0,12,39,27,46,226.8,2,9,7,8.0,76.00%,37017.0,8,68.00%,56.00%,53.00%,29.00%,33.00%,83.00%,84.00%,Customer Pilot
CPT-1211,Knowledge Search Assistant 17,EdTech,Knowledge Search,Product Manager,Startup,7,7.0,8.6,0.0,1.0,1,18,147,15,42,297.7,1,9,10,5.0,69.00%,5754.0,2,79.00%,96.00%,30.00%,46.00%,80.00%,60.00%,95.00%,MVP Build
CPT-1212,Fraud Detection Assistant 18,Cybersecurity,Process Optimization,Product Manager,SMB,5,4.0,2.9,7.0,1.0,1,10,36,17,8,144.0,10,4,5,6.0,100.00%,23523.0,10,40.00%,57.00%,50.00%,30.00%,60.00%,34.00%,11.00%,Archive
CPT-1213,Process Optimization Assistant 19,Consumer Apps,Document Intelligence,Product Manager,Enterprise,5,8.0,7.7,0.0,0.0,0,40,353,25,39,184.1,2,7,8,7.0,65.00%,27831.0,5,73.00%,50.00%,43.00%,52.00%,47.00%,74.00%,90.00%,Customer Pilot
CPT-1214,Workflow Automation Assistant 20,Logistics,Customer Support,Executive Sponsor,SMB,6,4.0,7.1,3.0,1.0,0,22,238,16,32,220.8,1,7,7,5.0,47.00%,22617.0,6,65.00%,47.00%,31.00%,38.00%,60.00%,53.00%,78.00%,Incubate
CPT-1215,Fraud Detection Assistant 21,Logistics,Compliance Monitoring,Frontline Agent,Mid-Market,4,3.0,4.4,3.0,1.0,0,14,147,0,18,76.7,5,4,5,5.0,42.00%,30422.0,6,23.00%,27.00%,33.00%,58.00%,53.00%,14.00%,58.00%,Archive
CPT-1216,Document Intelligence Assistant 22,Cybersecurity,Knowledge Search,Ops Manager,SMB,3,8.0,5.8,1.0,0.0,0,5,27,13,33,136.4,2,5,6,5.0,29.00%,23410.0,7,48.00%,34.00%,26.00%,63.00%,47.00%,49.00%,84.00%,Incubate
CPT-1217,Document Intelligence Assistant 23,EdTech,Forecasting,Executive Sponsor,Startup,6,5.0,2.8,1.0,0.0,1,10,98,4,4,2.5,7,1,5,5.0,31.00%,22283.0,9,12.00%,43.00%,26.00%,24.00%,27.00%,9.00%,59.00%,Archive
CPT-1218,Compliance Monitoring Assistant 24,Logistics,Document Intelligence,IT Admin,Enterprise,6,8.0,5.4,3.0,0.0,1,29,132,13,54,250.1,2,6,9,7.0,29.00%,21935.0,5,58.00%,79.00%,30.00%,42.00%,47.00%,67.00%,73.00%,Customer Pilot
CPT-1219,Document Intelligence Assistant 25,FinTech,Forecasting,Product Manager,SMB,3,4.0,5.9,4.0,0.0,0,7,25,11,24,203.3,6,4,5,5.0,56.00%,22382.0,8,53.00%,27.00%,34.00%,59.00%,20.00%,38.00%,48.00%,Archive
CPT-1220,Process Optimization Assistant 26,Manufacturing,Document Intelligence,Small Business Owner,Mid-Market,5,6.0,4.2,1.0,0.0,0,5,42,6,5,111.1,3,5,4,4.0,14.00%,25616.0,7,31.00%,28.00%,20.00%,43.00%,33.00%,13.00%,79.00%,Archive
CPT-1221,Forecasting Assistant 27,Cybersecurity,Personalization,Small Business Owner,Mid-Market,6,7.0,5.4,4.0,0.0,0,18,62,21,36,204.2,2,6,6,7.0,50.00%,31992.0,6,61.00%,39.00%,41.00%,38.00%,40.00%,65.00%,68.00%,Reusable Asset
CPT-1222,Compliance Monitoring Assistant 28,Legal Tech,Predictive Analytics,Product Manager,Mid-Market,7,5.0,8.9,1.0,1.0,0,23,179,28,40,174.1,2,8,6,6.0,94.00%,55516.0,3,81.00%,48.00%,62.00%,41.00%,67.00%,80.00%,84.00%,Customer Pilot
CPT-1223,Document Intelligence Assistant 29,FinTech,Compliance Monitoring,Data Analyst,SMB,6,7.0,6.2,3.0,0.0,1,19,217,13,21,110.9,8,7,5,6.0,18.00%,25822.0,6,47.00%,70.00%,26.00%,38.00%,40.00%,39.00%,43.00%,Incubate
CPT-1224,Process Optimization Assistant 30,EdTech,Compliance Monitoring,Ops Manager,Enterprise,6,9.0,9.5,0.0,0.0,1,36,230,23,59,257.5,0,10,6,8.0,74.00%,32610.0,6,87.00%,87.00%,50.00%,38.00%,53.00%,87.00%,100.00%,MVP Build
CPT-1225,Compliance Monitoring Assistant 31,Consumer Apps,Fraud Detection,Frontline Agent,SMB,5,6.0,5.4,1.0,1.0,1,18,98,12,32,128.0,2,5,6,5.0,75.00%,18315.0,5,44.00%,64.00%,37.00%,52.00%,73.00%,46.00%,84.00%,Incubate
CPT-1226,Personalization Assistant 32,Cybersecurity,Knowledge Search,Frontline Agent,Startup,4,5.0,6.7,0.0,0.0,0,23,81,19,40,254.1,0,7,8,6.0,56.00%,62674.0,5,70.00%,50.00%,54.00%,62.00%,27.00%,65.00%,100.00%,Incubate
CPT-1227,Workflow Automation Assistant 33,EdTech,Compliance Monitoring,Data Analyst,SMB,8,5.0,3.6,2.0,0.0,1,0,0,3,13,44.0,10,5,3,4.0,38.00%,4772.49,8,19.00%,54.00%,18.00%,9.00%,27.00%,15.00%,39.00%,Archive
CPT-1228,Workflow Automation Assistant 34,Healthcare,Document Intelligence,Executive Sponsor,Mid-Market,4,5.0,4.4,7.0,0.0,1,11,116,12,18,101.1,4,6,5,6.0,23.00%,12954.0,9,37.00%,66.00%,22.00%,44.00%,27.00%,34.00%,41.00%,Archive
CPT-1229,Personalization Assistant 35,FinTech,Personalization,Data Analyst,Enterprise,3,4.0,3.2,7.0,0.0,1,8,55,0,13,35.0,8,2,3,5.0,36.00%,18424.0,7,13.00%,41.00%,26.00%,63.00%,20.00%,10.00%,21.00%,Archive
CPT-1230,Compliance Monitoring Assistant 36,Retail,Workflow Automation,Executive Sponsor,Mid-Market,3,7.0,7.5,0.0,0.0,1,23,210,17,25,203.9,2,8,5,7.0,73.00%,41058.0,5,66.00%,74.00%,52.00%,72.00%,40.00%,49.00%,90.00%,Customer Pilot
CPT-1231,Fraud Detection Assistant 37,FinTech,Personalization,IT Admin,SMB,3,6.0,6.0,5.0,0.0,1,4,27,3,20,26.3,3,3,5,5.0,62.00%,32759.0,6,28.00%,52.00%,40.00%,68.00%,33.00%,21.00%,57.00%,Archive
CPT-1232,Document Intelligence Assistant 38,FinTech,Predictive Analytics,Executive Sponsor,Enterprise,2,6.0,7.5,2.0,0.0,0,25,100,30,25,231.0,1,7,9,9.0,72.00%,47800.0,2,82.00%,53.00%,59.00%,96.00%,33.00%,70.00%,84.00%,MVP Build
CPT-1233,Workflow Automation Assistant 39,Cybersecurity,Document Intelligence,IT Admin,Mid-Market,3,5.0,6.5,3.0,1.0,0,13,142,12,35,201.8,3,6,9,9.0,60.00%,33000.0,6,57.00%,49.00%,48.00%,68.00%,67.00%,49.00%,68.00%,Incubate
CPT-1234,Fraud Detection Assistant 40,FinTech,Workflow Automation,Frontline Agent,Enterprise,7,4.0,4.7,3.0,1.0,1,17,159,15,9,121.3,6,6,4,7.0,35.00%,17802.0,5,44.00%,62.00%,30.00%,32.00%,60.00%,32.00%,53.00%,Archive
CPT-1235,Fraud Detection Assistant 41,Logistics,Forecasting,Frontline Agent,Enterprise,3,7.0,4.0,2.0,1.0,0,6,60,18,19,116.0,7,5,5,6.0,65.00%,14441.0,9,43.00%,31.00%,35.00%,54.00%,80.00%,45.00%,54.00%,Incubate
CPT-1236,Knowledge Search Assistant 42,HR Tech,Fraud Detection,Product Manager,SMB,3,7.0,6.7,4.0,1.0,1,20,197,16,49,159.7,2,6,7,5.0,51.00%,35166.0,7,57.00%,72.00%,38.00%,63.00%,80.00%,67.00%,68.00%,Incubate
CPT-1237,Compliance Monitoring Assistant 43,Consumer Apps,Workflow Automation,IT Admin,Enterprise,6,6.0,10.0,0.0,1.0,0,30,125,29,60,297.4,0,10,7,7.0,75.00%,12518.0,2,99.00%,60.00%,39.00%,56.00%,73.00%,98.00%,100.00%,MVP Build
CPT-1238,Workflow Automation Assistant 44,FinTech,Compliance Monitoring,Executive Sponsor,SMB,7,8.0,6.7,1.0,1.0,1,16,95,23,53,239.9,4,6,8,5.0,50.00%,34372.0,9,72.00%,76.00%,37.00%,14.00%,87.00%,82.00%,74.00%,Customer Pilot
CPT-1239,Fraud Detection Assistant 45,Cybersecurity,Personalization,Small Business Owner,Mid-Market,4,7.0,8.7,0.0,1.0,1,26,234,23,49,300.0,1,9,7,9.0,98.00%,101291.0,6,87.00%,86.00%,91.00%,58.00%,80.00%,79.00%,95.00%,MVP Build
CPT-1240,Personalization Assistant 46,Cybersecurity,Fraud Detection,Data Analyst,Mid-Market,2,5.0,5.4,2.0,0.0,1,30,166,11,25,167.4,3,6,3,3.0,44.00%,12425.0,8,47.00%,59.00%,21.00%,69.00%,27.00%,39.00%,74.00%,Archive
CPT-1241,Personalization Assistant 47,Manufacturing,Process Optimization,Small Business Owner,Enterprise,2,5.0,6.4,3.0,1.0,0,29,258,19,40,192.7,2,7,6,4.0,30.00%,14485.0,7,62.00%,43.00%,20.00%,73.00%,67.00%,65.00%,73.00%,Archive
CPT-1242,Document Intelligence Assistant 48,Cybersecurity,Document Intelligence,Frontline Agent,Enterprise,2,6.0,4.5,2.0,0.0,1,7,25,15,25,144.0,6,5,7,5.0,55.00%,13299.0,3,45.00%,68.00%,29.00%,91.00%,33.00%,45.00%,59.00%,Incubate
CPT-1243,Document Intelligence Assistant 49,Cybersecurity,Knowledge Search,Data Analyst,Mid-Market,3,7.0,7.2,1.0,1.0,1,19,214,15,33,91.5,4,7,4,6.0,62.00%,31210.0,3,52.00%,67.00%,42.00%,81.00%,80.00%,52.00%,74.00%,Incubate
CPT-1244,Predictive Analytics Assistant 50,Consumer Apps,Fraud Detection,Product Manager,Startup,7,6.0,6.0,2.0,0.0,1,23,214,16,32,244.1,3,6,7,4.0,28.00%,6906.0,3,63.00%,72.00%,16.00%,41.00%,33.00%,53.00%,74.00%,Incubate
CPT-1245,Personalization Assistant 51,Consumer Apps,Personalization,Data Analyst,Enterprise,5,8.0,7.4,1.0,1.0,1,8,72,26,30,160.9,4,8,9,5.0,33.00%,10039.0,4,71.00%,88.00%,21.00%,57.00%,87.00%,68.00%,74.00%,Customer Pilot
CPT-1246,Fraud Detection Assistant 52,EdTech,Personalization,Small Business Owner,Mid-Market,5,5.0,6.2,3.0,0.0,0,26,272,16,48,207.7,0,8,6,3.0,46.00%,19989.0,2,60.00%,48.00%,25.00%,66.00%,27.00%,66.00%,83.00%,Reusable Asset
CPT-1247,Process Optimization Assistant 53,Manufacturing,Customer Support,Ops Manager,Startup,3,5.0,6.7,1.0,0.0,0,23,275,22,42,38.1,1,4,4,5.0,56.00%,8087.0,6,51.00%,23.00%,27.00%,68.00%,27.00%,71.00%,89.00%,Reusable Asset
CPT-1248,Document Intelligence Assistant 54,Manufacturing,Fraud Detection,Frontline Agent,Enterprise,4,8.0,6.8,2.0,0.0,0,26,208,7,44,172.1,3,7,6,6.0,63.00%,24867.0,8,50.00%,43.00%,39.00%,49.00%,47.00%,48.00%,74.00%,Incubate
CPT-1249,Document Intelligence Assistant 55,Manufacturing,Document Intelligence,Compliance Officer,SMB,2,5.0,6.8,1.0,0.0,0,21,106,22,26,220.0,3,7,4,7.0,89.00%,17131.0,7,70.00%,37.00%,46.00%,73.00%,27.00%,58.00%,79.00%,Incubate
CPT-1250,Personalization Assistant 56,Healthcare,Customer Support,IT Admin,Mid-Market,7,5.0,4.8,3.0,1.0,1,21,195,29,45,141.0,2,8,5,6.0,59.00%,39567.0,5,60.00%,74.00%,44.00%,32.00%,67.00%,86.00%,73.00%,Customer Pilot
CPT-1251,Compliance Monitoring Assistant 57,Consumer Apps,Compliance Monitoring,Ops Manager,SMB,6,7.0,9.8,0.0,0.0,1,40,236,30,60,182.4,0,10,9,5.0,52.00%,49090.0,4,87.00%,97.00%,44.00%,47.00%,40.00%,100.00%,100.00%,MVP Build
CPT-1252,Process Optimization Assistant 58,EdTech,Knowledge Search,Product Manager,SMB,3,8.0,5.8,3.0,1.0,1,21,108,20,28,245.1,1,6,5,5.0,55.00%,25679.0,4,66.00%,66.00%,35.00%,77.00%,87.00%,56.00%,78.00%,Customer Pilot
CPT-1253,Process Optimization Assistant 59,Manufacturing,Process Optimization,IT Admin,Startup,8,5.0,2.9,6.0,0.0,1,12,43,2,11,101.9,10,3,3,6.0,52.00%,10803.0,10,21.00%,46.00%,30.00%,0.00%,27.00%,12.00%,17.00%,Archive
CPT-1254,Compliance Monitoring Assistant 60,Cybersecurity,Compliance Monitoring,Product Manager,Mid-Market,2,9.0,7.3,3.0,1.0,1,30,160,28,57,222.5,1,7,6,6.0,63.00%,32972.0,3,78.00%,73.00%,43.00%,91.00%,93.00%,94.00%,78.00%,MVP Build
CPT-1255,Compliance Monitoring Assistant 61,Retail,Forecasting,Data Analyst,Enterprise,4,7.0,7.1,3.0,0.0,1,18,114,16,36,271.3,4,7,9,5.0,64.00%,20310.0,7,70.00%,83.00%,35.00%,53.00%,40.00%,56.00%,63.00%,Customer Pilot
CPT-1256,Forecasting Assistant 62,Legal Tech,Customer Support,Executive Sponsor,Mid-Market,6,4.0,5.5,3.0,0.0,1,11,99,8,37,51.1,5,4,4,3.0,45.00%,24142.0,10,33.00%,53.00%,27.00%,20.00%,20.00%,44.00%,58.00%,Archive
CPT-1257,Customer Support Assistant 63,Healthcare,Personalization,Product Manager,SMB,4,3.0,3.3,4.0,1.0,1,5,54,5,10,78.6,2,3,6,2.0,44.00%,8922.0,6,23.00%,56.00%,17.00%,58.00%,53.00%,16.00%,68.00%,Archive
CPT-1258,Forecasting Assistant 64,HR Tech,Fraud Detection,IT Admin,Enterprise,6,5.0,6.0,4.0,1.0,0,26,237,12,20,246.0,8,6,5,5.0,47.00%,14680.0,6,59.00%,36.00%,27.00%,38.00%,67.00%,36.00%,38.00%,Archive
CPT-1259,Fraud Detection Assistant 65,Legal Tech,Forecasting,Executive Sponsor,Mid-Market,8,6.0,4.7,4.0,1.0,0,2,10,8,39,134.2,1,6,3,5.5,67.00%,33375.0,6,38.00%,29.00%,43.00%,18.00%,73.00%,46.00%,73.00%,Archive
CPT-1260,Customer Support Assistant 66,Cybersecurity,Personalization,Frontline Agent,Startup,5,7.0,3.8,5.0,0.0,0,5,37,12,22,131.3,3,5,4,6.0,74.00%,29212.0,7,38.00%,28.00%,44.00%,43.00%,40.00%,38.00%,57.00%,Customer Pilot
CPT-1261,Predictive Analytics Assistant 67,Legal Tech,Customer Support,Executive Sponsor,SMB,8,5.0,5.1,0.0,0.0,0,16,105,26,29,128.2,4,4,8,8.0,49.00%,16317.0,7,57.00%,37.00%,35.00%,13.00%,27.00%,67.00%,80.00%,Reusable Asset
CPT-1262,Workflow Automation Assistant 68,Healthcare,Fraud Detection,Data Analyst,SMB,3,4.0,5.4,3.0,0.0,1,7,400,20,22,161.7,4,5,5,5.0,40.00%,30557.0,6,56.00%,61.00%,33.00%,68.00%,20.00%,51.00%,63.00%,Incubate
CPT-1263,Personalization Assistant 69,Consumer Apps,Customer Support,Product Manager,SMB,7,8.0,9.8,0.0,0.0,1,37,387,30,51,202.3,0,10,9,7.0,82.00%,52838.0,3,89.00%,97.00%,60.00%,41.00%,47.00%,92.00%,100.00%,MVP Build
CPT-1264,Knowledge Search Assistant 70,EdTech,Compliance Monitoring,Data Analyst,SMB,7,6.0,5.8,1.0,0.0,1,17,117,14,23,192.4,2,6,4,3.0,56.00%,8103.0,7,55.00%,62.00%,23.00%,23.00%,33.00%,42.00%,84.00%,Incubate
CPT-1265,Predictive Analytics Assistant 71,Retail,Workflow Automation,Data Analyst,SMB,8,7.0,6.1,3.0,1.0,0,19,128,4,33,189.8,1,6,6,5.0,38.00%,5565.0,10,46.00%,39.00%,21.00%,0.00%,80.00%,34.00%,78.00%,Archive
CPT-1266,Document Intelligence Assistant 72,Healthcare,Forecasting,Ops Manager,Startup,6,6.0,3.9,3.0,0.0,0,14,64,0,35,141.0,7,3,5,3.0,34.00%,14908.0,8,27.00%,22.00%,19.00%,29.00%,33.00%,29.00%,48.00%,Archive
CPT-1267,Customer Support Assistant 73,HR Tech,Document Intelligence,Frontline Agent,Enterprise,4,6.0,5.9,4.0,0.0,0,4,14,9,15,21.1,3,3,4,6.0,22.00%,21172.0,3,33.00%,19.00%,25.00%,71.00%,33.00%,27.00%,63.00%,Archive
CPT-1268,Forecasting Assistant 74,Healthcare,Predictive Analytics,Data Analyst,SMB,3,4.0,4.3,4.0,1.0,1,20,126,11,17,113.0,5,5,4,3.0,48.00%,22999.0,7,37.00%,58.00%,27.00%,63.00%,60.00%,32.00%,53.00%,Archive
CPT-1269,Forecasting Assistant 75,Retail,Customer Support,Small Business Owner,SMB,7,7.0,3.3,7.0,0.0,0,21,119,5,25,60.9,4,3,4,2.0,12.00%,14459.0,6,21.00%,19.00%,10.00%,28.00%,40.00%,29.00%,41.00%,Archive
CPT-1270,Knowledge Search Assistant 76,Retail,Fraud Detection,Frontline Agent,Mid-Market,5,7.0,8.4,0.0,0.0,1,26,220,30,51,193.4,1,8,8,7.0,68.00%,50541.0,3,82.00%,84.00%,54.00%,61.00%,40.00%,92.00%,95.00%,MVP Build
CPT-1271,Predictive Analytics Assistant 77,HR Tech,Forecasting,Small Business Owner,SMB,4,8.0,7.7,5.0,0.0,1,17,139,22,51,300.0,2,9,5,9.0,95.00%,21329.0,4,82.00%,79.00%,54.00%,67.00%,47.00%,79.00%,62.00%,MVP Build
CPT-1272,Knowledge Search Assistant 78,Logistics,Forecasting,Small Business Owner,Mid-Market,8,4.0,1.5,3.0,0.0,0,23,182,9,4,8.6,8,1,4,4.0,38.00%,4772.49,8,12.00%,10.00%,18.00%,9.00%,20.00%,18.00%,43.00%,Archive
CPT-1273,Workflow Automation Assistant 79,FinTech,Forecasting,Product Manager,Mid-Market,5,7.0,7.2,3.0,0.0,1,22,261,14,44,106.9,3,7,6,6.0,38.00%,7515.0,7,52.00%,73.00%,24.00%,43.00%,40.00%,60.00%,68.00%,Incubate
CPT-1274,Fraud Detection Assistant 80,Cybersecurity,Forecasting,Data Analyst,Mid-Market,5,7.0,4.7,6.0,0.0,1,25,150,18,21,113.9,7,4,6,4.0,55.00%,24295.0,7,46.00%,60.00%,32.00%,43.00%,40.00%,47.00%,32.00%,Incubate
CPT-1275,Compliance Monitoring Assistant 81,Cybersecurity,Workflow Automation,Frontline Agent,Enterprise,3,7.0,6.6,1.0,0.0,1,26,96,15,39,202.6,0,8,5,8.0,59.00%,67507.0,5,60.00%,74.00%,62.00%,72.00%,40.00%,57.00%,94.00%,Customer Pilot
CPT-1276,Document Intelligence Assistant 82,EdTech,Customer Support,Product Manager,Startup,6,5.0,3.7,2.0,0.0,0,4,22,5,20,106.7,7,4,5,4.0,40.00%,31680.0,3,28.00%,27.00%,31.00%,51.00%,27.00%,24.00%,54.00%,Archive
CPT-1277,Compliance Monitoring Assistant 83,EdTech,Knowledge Search,Product Manager,Enterprise,7,6.0,6.7,2.0,0.0,0,17,101,21,47,114.0,6,6,8,5.0,13.00%,23713.0,8,58.00%,46.00%,21.00%,19.00%,33.00%,74.00%,59.00%,Archive
CPT-1278,Forecasting Assistant 84,Logistics,Knowledge Search,Ops Manager,Mid-Market,6,6.0,8.8,2.0,1.0,0,40,400,27,52,277.0,1,8,9,10.0,77.00%,55822.0,4,89.00%,58.00%,66.00%,47.00%,73.00%,88.00%,84.00%,MVP Build
CPT-1279,Workflow Automation Assistant 85,Legal Tech,Forecasting,Executive Sponsor,Mid-Market,4,5.0,4.9,4.0,1.0,1,14,84,10,36,85.7,6,5,3,7.0,57.00%,23751.0,6,36.00%,54.00%,39.00%,58.00%,67.00%,46.00%,48.00%,Archive
CPT-1280,Customer Support Assistant 86,HR Tech,Compliance Monitoring,Compliance Officer,SMB,3,5.0,4.0,4.0,0.0,1,12,71,0,19,67.3,9,4,5,5.0,59.00%,12416.0,6,20.00%,57.00%,30.00%,68.00%,27.00%,15.00%,33.00%,Archive
CPT-1281,Predictive Analytics Assistant 87,Legal Tech,Compliance Monitoring,Ops Manager,SMB,5,6.0,7.4,2.0,0.0,1,21,248,2,53,136.5,1,7,5,8.0,62.00%,52138.0,3,44.00%,70.00%,55.00%,61.00%,33.00%,47.00%,84.00%,Customer Pilot
CPT-1282,Predictive Analytics Assistant 88,Logistics,Forecasting,Ops Manager,Startup,5,8.0,8.1,3.0,0.0,1,26,113,17,55,142.1,1,9,7,7.0,53.00%,32690.0,5,63.00%,86.00%,42.00%,52.00%,47.00%,74.00%,78.00%,Customer Pilot
CPT-1283,Document Intelligence Assistant 89,Manufacturing,Forecasting,Product Manager,Startup,4,8.0,6.5,2.0,0.0,1,26,142,25,45,163.2,3,6,4,8.0,96.00%,26695.0,6,66.00%,62.00%,54.00%,58.00%,47.00%,79.00%,74.00%,MVP Build
CPT-1284,Process Optimization Assistant 90,Manufacturing,Fraud Detection,Small Business Owner,Enterprise,5,5.0,3.2,2.0,1.0,1,15,51,0,4,134.0,9,3,4,5.0,54.00%,30660.0,7,23.00%,49.00%,37.00%,43.00%,67.00%,3.00%,44.00%,Archive
CPT-1285,Predictive Analytics Assistant 91,Consumer Apps,Customer Support,Ops Manager,SMB,8,8.0,7.4,4.0,1.0,1,21,141,18,40,197.7,0,7,5,5.0,64.00%,12438.0,4,66.00%,70.00%,32.00%,27.00%,87.00%,63.00%,78.00%,Incubate
CPT-1286,Document Intelligence Assistant 92,HR Tech,Fraud Detection,Executive Sponsor,Startup,5,6.0,4.9,3.0,1.0,0,27,208,17,30,128.5,1,5,4,6.0,67.00%,14110.0,4,47.00%,28.00%,35.00%,57.00%,73.00%,53.00%,78.00%,Incubate
CPT-1287,Workflow Automation Assistant 93,Healthcare,Personalization,IT Admin,SMB,3,5.0,7.0,1.0,1.0,0,25,101,0,25,277.4,3,7,7,6.0,67.00%,77354.0,7,54.00%,47.00%,64.00%,63.00%,67.00%,20.00%,79.00%,Incubate
CPT-1288,Document Intelligence Assistant 94,Consumer Apps,Forecasting,Small Business Owner,SMB,3,8.0,6.6,2.0,1.0,1,20,74,14,47,164.8,0,6,6,7.0,47.00%,14657.0,4,55.00%,69.00%,32.00%,77.00%,87.00%,62.00%,89.00%,Customer Pilot
